comment,replies,date,user_name
That was extremely unfair that Mike got up sooner than buster douglas and got counted out. Seems like maybe Mike got a tough break in that fight,[],2022-12-04T21:51:27Z,@chrislewis5069
Why did he kiss him gay wtf that gay sus,[],2022-11-26T05:54:33Z,@randomgamer8763
Boricua hispanic india n black iam. I feel sad about mike because he won many millions of dollas n they steal his money .  went Broek but he a good actor his movie make hem back of his feet.,[],2022-11-24T17:55:00Z,@emilioquintana4332
"Se não tivesse se envolvido em confusões, não teria caído antes dos 30. Não seria um Buster Douglas que o derrubaria.
Tyson era uma força da natureza. Acredito que o Don King teve uma péssima influência na vida do Iron Mike.",[],2022-11-17T07:15:36Z,@rekdinhopoetico
"Tyson barely trained for Douglas, addicted to drugs, Robin Givens, terrible team on the side line without proper equipment, thief don king and nearly knocked him out cold and fought 10 rounds. How can anyone say Tyson was overrated without knowing what the man has gone through at that age. His life was literally like a movie.",[],2022-11-04T03:21:06Z,@RTXSimplicity
Beautiful documentary,[],2022-11-01T22:51:45Z,@julesdebie4237
Man I always think how peak Mike would destroy peak Holyfield,[],2022-10-25T09:39:25Z,@persianchris2451
My cousin Domingo also convicted burglar and rapist exactly like Mike but no one is respecting him. He also trains hard in prison and is strong like Mike. Why Domingo is hated while Mike is loved? No fair.,[],2022-10-21T09:10:16Z,@user-jl2wd1it8h
"Okay lowkey, I fuckin love the nod to Hangover xD",[],2022-10-15T03:22:28Z,@daisho509
Don King was paid off to let him fail. The referee was paid off too.,[],2022-10-13T00:30:40Z,@mrjonesandme8848
The Black culture will give in an offer pleasures as redemption because the short fuse allow the Black culture to become impulse reaction beside themselves ruining the establishment trying to become achieved to where the role reversal of the authority renders no structure,[],2022-10-10T08:06:44Z,@lesreed2442
